"date","price","open","high","low","vol"
2015-01-05,3350.52,3258.63,3369.28,3253.88,5.314e+10
2015-01-06,3351.45,3330.8,3394.22,3303.18,5.017e+10
2015-01-07,3373.95,3326.65,3374.9,3312.21,3.919e+10
2015-01-08,3293.46,3371.96,3381.57,3285.1,3.711e+10
2015-01-09,3285.41,3276.97,3404.83,3267.51,4.102e+10
2015-01-12,3229.32,3258.21,3275.19,3191.58,3.221e+10
2015-01-13,3235.3,3223.54,3259.39,3214.41,2.307e+10
2015-01-14,3222.44,3242.34,3268.48,3193.98,2.402e+10
2015-01-15,3336.45,3224.07,3337.08,3207.55,2.825e+10
2015-01-16,3376.49,3343.6,3400.32,3340.49,3.399e+10
2015-01-19,3116.35,3189.73,3262.21,3095.07,4.011e+10
2015-01-20,3173.05,3114.56,3190.25,3100.48,3.571e+10
2015-01-21,3323.61,3189.09,3337,3178.34,4.11e+10
2015-01-22,3343.34,3327.32,3352.38,3293.98,3.534e+10
2015-01-23,3351.76,3357.1,3406.79,3328.29,3.662e+10
2015-01-26,3383.18,3347.26,3384.8,3321.31,3.175e+10
2015-01-27,3352.96,3389.85,3390.22,3290.22,3.745e+10
2015-01-28,3305.74,3325.72,3354.8,3294.65,3.019e+10
2015-01-29,3262.3,3259,3286.79,3234.24,2.747e+10
2015-01-30,3210.36,3273.75,3288.5,3210.31,2.583e+10
2015-02-02,3128.3,3148.14,3175.13,3122.57,2.509e+10
2015-02-03,3204.91,3156.09,3207.94,3129.73,2.482e+10
2015-02-04,3174.13,3212.82,3238.98,3171.14,2.491e+10
2015-02-05,3136.53,3251.21,3251.21,3135.82,3.061e+10
2015-02-06,3075.91,3120.09,3129.54,3052.94,2.468e+10
2015-02-09,3095.12,3063.51,3119.03,3049.11,2.061e+10
2015-02-10,3141.59,3090.49,3142.1,3084.25,1.938e+10
2015-02-11,3157.7,3145.77,3166.42,3139.05,1.728e+10
2015-02-12,3173.42,3157.96,3181.77,3134.24,1.946e+10
2015-02-13,3203.83,3186.81,3237.16,3182.79,2.613e+10
2015-02-16,3222.36,3206.14,3228.85,3195.88,2.238e+10
2015-02-17,3246.91,3230.88,3255.73,3230.77,2.283e+10
2015-02-25,3228.84,3256.48,3257.22,3215.55,2.333e+10
2015-02-26,3298.36,3222.15,3300.62,3202.19,3.013e+10
2015-02-27,3310.3,3296.83,3324.55,3291.01,2.992e+10
2015-03-02,3336.28,3332.72,3336.76,3298.67,3.464e+10
2015-03-03,3263.05,3317.69,3317.69,3260.43,3.82e+10
2015-03-04,3279.53,3264.18,3286.59,3250.48,2.936e+10
2015-03-05,3248.48,3264.08,3266.64,3221.67,3.207e+10
2015-03-06,3241.19,3248.04,3266.93,3234.53,2.829e+10
2015-03-09,3302.41,3224.31,3307.7,3198.37,3.215e+10
2015-03-10,3286.07,3289.08,3309.92,3277.09,2.858e+10
2015-03-11,3290.9,3289.59,3325.05,3278.47,2.83e+10
2015-03-12,3349.32,3314.81,3360.05,3300.49,3.573e+10
2015-03-13,3372.91,3359.49,3391.26,3352.15,3.284e+10
2015-03-16,3449.3,3391.16,3449.3,3377.09,3.991e+10
2015-03-17,3502.85,3469.6,3504.12,3459.69,5.209e+10
2015-03-18,3577.3,3510.5,3577.66,3503.85,5.452e+10
2015-03-19,3582.27,3576.02,3600.68,3546.84,5.373e+10
2015-03-20,3617.32,3587.08,3632.34,3569.38,5.167e+10
2015-03-23,3687.73,3640.1,3688.25,3635.48,5.361e+10
2015-03-24,3691.41,3692.57,3715.87,3600.7,6.396e+10
2015-03-25,3660.73,3680.95,3693.15,3634.56,5.219e+10
2015-03-26,3682.1,3641.94,3707.32,3615.01,4.886e+10
2015-03-27,3691.1,3686.13,3710.48,3656.83,4.089e+10
2015-03-30,3786.57,3710.61,3795.93,3710.61,5.647e+10
2015-03-31,3747.9,3822.99,3835.57,3737.04,5.617e+10
2015-04-01,3810.29,3748.34,3817.08,3742.21,4.475e+10
2015-04-02,3825.78,3827.69,3835.45,3775.89,4.793e+10
2015-04-03,3863.93,3803.38,3864.4,3792.21,4.73e+10
2015-04-07,3961.38,3899.42,3961.67,3891.73,5.704e+10
2015-04-08,3994.81,3976.53,4000.22,3903.65,6.181e+10
2015-04-09,3957.53,4006.13,4016.4,3900.03,5.852e+10
2015-04-10,4034.31,3947.49,4040.35,3929.32,4.843e+10
2015-04-13,4121.71,4072.72,4128.07,4057.29,5.898e+10
2015-04-14,4135.57,4125.78,4168.35,4091.26,6.107e+10
2015-04-15,4084.16,4135.65,4175.49,4069.01,6.13e+10
2015-04-16,4194.82,4055.92,4195.31,4031.24,5.512e+10
2015-04-17,4287.3,4254.72,4317.22,4238.91,7.017e+10
2015-04-20,4217.08,4301.35,4356,4190.68,8.571e+10
2015-04-21,4293.62,4212.19,4294.37,4188.57,6.345e+10
2015-04-22,4398.49,4304.6,4400.19,4297.95,6.803e+10
2015-04-23,4414.51,4414.48,4444.41,4358.84,6.673e+10
2015-04-24,4393.69,4355.95,4416.38,4318.12,6.286e+10
2015-04-27,4527.4,4441.93,4529.74,4441.93,6.711e+10
2015-04-28,4476.21,4527.64,4572.39,4432.9,7.677e+10
2015-04-29,4476.62,4446.12,4499.94,4398.64,5.198e+10
2015-04-30,4441.66,4483.01,4507.34,4441.05,5.267e+10
2015-05-04,4480.46,4441.34,4487.57,4387.43,4.942e+10
2015-05-05,4298.71,4479.85,4488.87,4282.24,5.729e+10
2015-05-06,4229.27,4311.64,4376.35,4187.37,4.817e+10
2015-05-07,4112.21,4197.9,4213.76,4108.01,3.946e+10
2015-05-08,4205.92,4152.98,4206.86,4099.04,3.974e+10
2015-05-11,4333.58,4231.27,4334.88,4187.82,4.888e+10
2015-05-12,4401.22,4342.37,4402.31,4317.98,5.219e+10
2015-05-13,4375.76,4402.38,4415.63,4342.48,5.105e+10
2015-05-14,4378.31,4372.82,4397.74,4329.04,4.491e+10
2015-05-15,4308.69,4366.82,4366.82,4278.55,4.397e+10
2015-05-18,4283.49,4277.89,4324.83,4260.51,3.801e+10
2015-05-19,4417.55,4285.78,4418.4,4285.78,4.367e+10
2015-05-20,4446.29,4434.98,4520.54,4432.28,5.141e+10
2015-05-21,4529.42,4456.43,4530.48,4438.26,4.65e+10
2015-05-22,4657.6,4584.98,4658.27,4562.99,6.556e+10
2015-05-25,4813.8,4660.07,4814.67,4656.82,6.825e+10
2015-05-26,4910.9,4854.85,4911.68,4779.08,7.049e+10
2015-05-27,4941.71,4932.85,4958.16,4857.06,6.812e+10
2015-05-28,4620.27,4943.74,4986.5,4614.24,7.83e+10
2015-05-29,4611.74,4603.47,4698.19,4431.56,6.113e+10
2015-06-01,4828.74,4633.1,4829.5,4615.23,5.934e+10
2015-06-02,4910.53,4844.7,4911.57,4797.55,6.237e+10
2015-06-03,4909.98,4924.38,4942.06,4822.44,6.115e+10
2015-06-04,4947.1,4912.95,4947.96,4647.41,6.75e+10
2015-06-05,5023.1,5016.09,5051.63,4898.07,7.722e+10
2015-06-08,5131.88,5045.69,5146.95,4997.48,8.55e+10
2015-06-09,5113.53,5145.98,5147.45,5042.96,7.299e+10
2015-06-10,5106.04,5049.2,5164.16,5001.49,5.97e+10
2015-06-11,5121.59,5101.44,5122.46,5050.76,5.64e+10
2015-06-12,5166.35,5143.34,5178.19,5103.4,6.256e+10
2015-06-15,5062.99,5174.42,5176.79,5048.74,6.378e+10
2015-06-16,4887.43,5004.41,5029.68,4842.1,5.508e+10
2015-06-17,4967.9,4890.55,4983.66,4767.22,5.371e+10
2015-06-18,4785.36,4942.52,4966.77,4780.87,5.074e+10
2015-06-19,4478.36,4689.93,4744.08,4476.5,4.527e+10
2015-06-23,4576.49,4471.61,4577.94,4264.77,4.735e+10
2015-06-24,4690.15,4604.58,4691.77,4552.13,5.43e+10
2015-06-25,4527.78,4711.76,4720.7,4483.55,5.728e+10
2015-06-26,4192.87,4399.93,4456.9,4139.53,5.652e+10
2015-06-29,4053.03,4289.77,4297.47,3875.05,6.738e+10
2015-06-30,4277.22,4006.75,4279.97,3847.88,7.092e+10
2015-07-01,4053.7,4214.15,4317.05,4043.37,5.988e+10
2015-07-02,3912.77,4058.62,4080.39,3795.25,5.86e+10
2015-07-03,3686.92,3793.71,3927.13,3629.56,5.482e+10
2015-07-06,3775.91,3975.21,3975.21,3653.04,8.311e+10
2015-07-07,3727.12,3654.78,3750.57,3585.4,6.988e+10
2015-07-08,3507.19,3467.4,3599.25,3421.53,6.804e+10
2015-07-09,3709.33,3432.45,3748.48,3373.54,6.569e+10
2015-07-10,3877.8,3707.46,3959.22,3677.43,5.864e+10
2015-07-13,3970.39,3918.99,4030.19,3858.64,6.435e+10
2015-07-14,3924.49,3958.37,4035.43,3855.56,6.706e+10
2015-07-15,3805.7,3874.97,3914.27,3741.25,6.013e+10
2015-07-16,3823.18,3758.5,3877.51,3688.44,4.923e+10
2015-07-17,3957.35,3831.42,3994.48,3814.15,4.817e+10
2015-07-20,3992.11,3948.42,4021.33,3927.12,5.391e+10
2015-07-21,4017.67,3939.9,4041.82,3912.8,5.043e+10
2015-07-22,4026.05,3996.43,4042.34,3960.86,5.207e+10
2015-07-23,4123.92,4022.27,4132.61,4019.04,5.636e+10
2015-07-24,4070.91,4124.75,4184.45,4044.83,6.274e+10
2015-07-27,3725.56,3985.57,4051.16,3720.44,5.56e+10
2015-07-28,3663,3573.14,3762.53,3537.36,5.633e+10
2015-07-29,3789.17,3689.82,3792.07,3612.06,4.344e+10
2015-07-30,3705.77,3773.79,3844.37,3685.96,4.579e+10
2015-07-31,3663.73,3655.67,3729.51,3620.17,3.51e+10
2015-08-03,3622.91,3614.99,3648.94,3549.5,3.64e+10
2015-08-04,3756.54,3621.85,3757.03,3601.29,3.629e+10
2015-08-05,3694.57,3745.65,3782.35,3676.39,3.664e+10
2015-08-06,3661.54,3625.5,3710.57,3614.74,2.741e+10
2015-08-07,3744.2,3692.61,3756.74,3686.3,3.408e+10
2015-08-10,3928.42,3786.03,3943.62,3775.85,4.973e+10
2015-08-11,3927.91,3928.81,3970.34,3891.18,5.389e+10
2015-08-12,3886.32,3881.23,3937.77,3871.14,4.427e+10
2015-08-13,3954.56,3869.91,3955.79,3838.16,4.301e+10
2015-08-14,3965.33,3976.41,4000.68,3939.84,4.68e+10
2015-08-17,3993.67,3947.84,3994.54,3907.4,4.604e+10
2015-08-18,3748.16,3999.13,4006.34,3743.39,5.438e+10
2015-08-19,3794.11,3646.8,3811.43,3558.38,4.754e+10
2015-08-20,3664.29,3754.57,3788.01,3663.61,3.901e+10
2015-08-21,3507.74,3609.96,3652.84,3490.54,3.699e+10
2015-08-24,3209.91,3373.48,3388.36,3191.88,3.347e+10
2015-08-25,2964.97,3004.13,3123.03,2947.94,3.523e+10
2015-08-26,2927.29,2980.79,3092.04,2850.71,4.667e+10
2015-08-27,3083.59,2978.03,3085.42,2906.49,4.003e+10
2015-08-28,3232.35,3125.26,3235.84,3102.95,4.431e+10
2015-08-31,3205.99,3203.56,3207.86,3109.16,3.974e+10
2015-09-01,3166.62,3157.83,3180.33,3053.74,4.324e+10
2015-09-02,3160.17,3027.68,3194.48,3019.09,4.382e+10
2015-09-07,3080.42,3149.38,3217.58,3066.3,2.965e+10
2015-09-08,3170.45,3054.44,3174.71,3011.12,2.554e+10
2015-09-09,3243.09,3182.55,3256.74,3165.7,3.753e+10
2015-09-10,3197.89,3190.55,3243.28,3178.9,2.733e+10
2015-09-11,3200.23,3189.48,3223.76,3163.45,2.246e+10
2015-09-14,3114.8,3221.17,3229.48,3049.23,3.466e+10
2015-09-15,3005.17,3043.8,3081.7,2983.92,2.492e+10
2015-09-16,3152.26,2998.04,3182.93,2983.54,2.775e+10
2015-09-17,3086.06,3131.98,3204.7,3085.31,3.176e+10
2015-09-18,3097.92,3100.28,3122.05,3070.34,2.092e+10
2015-09-21,3156.54,3072.09,3159.88,3060.86,2.399e+10
2015-09-22,3185.62,3161.32,3213.48,3152.48,2.748e+10
2015-09-23,3115.89,3137.72,3164.04,3104.74,2.363e+10
2015-09-24,3142.69,3126.49,3151.16,3109.69,2.129e+10
2015-09-25,3092.35,3130.85,3149.95,3063,2.363e+10
2015-09-28,3100.76,3085.57,3103.07,3042.31,1.567e+10
2015-09-29,3038.14,3055.22,3068.3,3021.16,1.632e+10
2015-09-30,3052.78,3052.84,3073.3,3039.74,1.466e+10
2015-10-08,3143.36,3156.07,3172.28,3133.13,2.343e+10
2015-10-09,3183.15,3146.64,3192.72,3137.79,2.349e+10
2015-10-12,3287.66,3193.54,3318.71,3188.41,3.863e+10
2015-10-13,3293.23,3262.16,3298.63,3253.25,2.972e+10
2015-10-14,3262.44,3280.02,3307.32,3256.25,2.951e+10
2015-10-15,3338.07,3255.03,3338.3,3254.39,3.163e+10
2015-10-16,3391.35,3358.3,3393.02,3334.85,3.955e+10
2015-10-19,3386.7,3401.63,3423.4,3355.57,3.781e+10
2015-10-20,3425.33,3377.55,3425.52,3357.86,3.19e+10
2015-10-21,3320.68,3428.56,3447.26,3265.44,4.585e+10
2015-10-22,3368.74,3292.29,3373.78,3282.99,3.237e+10
2015-10-23,3412.43,3377.55,3422.02,3360.22,3.474e+10
2015-10-26,3429.58,3448.65,3457.52,3402,3.656e+10
2015-10-27,3434.34,3409.14,3441.57,3332.62,3.282e+10
2015-10-28,3375.2,3417.01,3439.76,3367.23,2.935e+10
2015-10-29,3387.32,3387.77,3411.71,3362.51,2.357e+10
2015-10-30,3382.56,3380.28,3417.2,3346.59,2.436e+10
2015-11-02,3325.08,3337.58,3391.06,3322.31,2.31e+10
2015-11-03,3316.7,3330.32,3346.27,3302.18,1.929e+10
2015-11-04,3459.64,3325.62,3459.65,3325.62,3.391e+10
2015-11-05,3522.82,3459.22,3585.66,3455.53,5.533e+10
2015-11-06,3590.03,3514.44,3596.38,3508.83,4.292e+10
2015-11-09,3646.88,3588.5,3673.76,3588.5,5.03e+10
2015-11-10,3640.49,3617.4,3669.53,3607.89,4.297e+10
2015-11-11,3650.25,3635,3654.88,3605.62,3.61e+10
2015-11-12,3632.9,3656.82,3659.31,3603.23,3.617e+10
2015-11-13,3580.84,3600.76,3632.56,3564.81,3.459e+10
2015-11-16,3606.96,3522.46,3607.61,3519.42,2.762e+10
2015-11-17,3604.8,3629.98,3678.27,3598.07,3.836e+10
2015-11-18,3568.47,3605.06,3617.07,3558.7,2.976e+10
2015-11-19,3617.06,3573.78,3618.21,3561.04,2.479e+10
2015-11-20,3630.5,3620.79,3640.53,3607.92,3.108e+10
2015-11-23,3610.31,3630.87,3654.75,3598.87,3.16e+10
2015-11-24,3616.11,3602.89,3616.48,3563.1,2.488e+10
2015-11-25,3647.93,3614.07,3648.37,3607.52,2.73e+10
2015-11-26,3635.55,3659.57,3668.38,3629.86,3.068e+10
2015-11-27,3436.3,3616.54,3621.9,3412.43,3.543e+10
2015-11-30,3445.4,3433.86,3470.37,3327.81,3.042e+10
2015-12-01,3456.31,3442.44,3483.41,3417.55,2.524e+10
2015-12-02,3536.91,3450.28,3538.85,3427.66,3.015e+10
2015-12-03,3584.82,3525.73,3591.73,3517.23,2.811e+10
2015-12-04,3524.99,3558.15,3568.97,3510.41,2.517e+10
2015-12-07,3536.93,3529.81,3543.95,3506.62,2.083e+10
2015-12-08,3470.07,3518.65,3518.65,3466.79,2.244e+10
2015-12-09,3472.44,3462.58,3495.7,3454.88,1.957e+10
2015-12-10,3455.5,3469.81,3503.65,3446.27,2.004e+10
2015-12-11,3434.58,3441.6,3455.55,3410.92,1.829e+10
2015-12-14,3520.67,3403.51,3521.78,3399.28,2.154e+10
2015-12-15,3510.35,3518.13,3529.96,3496.85,2.005e+10
2015-12-16,3516.19,3522.09,3538.69,3506.29,1.935e+10
2015-12-17,3580,3533.63,3583.41,3533.63,2.839e+10
2015-12-18,3578.96,3574.94,3614.7,3568.16,2.737e+10
2015-12-21,3642.47,3568.58,3651.06,3565.75,2.998e+10
2015-12-22,3651.77,3645.99,3652.63,3616.87,2.612e+10
2015-12-23,3636.09,3653.28,3684.57,3633.03,2.982e+10
2015-12-24,3612.49,3631.31,3640.22,3572.28,2.278e+10
2015-12-25,3627.91,3614.05,3635.26,3601.74,1.985e+10
2015-12-28,3533.78,3635.77,3641.59,3533.78,2.7e+10
2015-12-29,3563.74,3528.4,3564.17,3515.52,1.826e+10
2015-12-30,3572.88,3566.73,3573.68,3538.11,1.879e+10
2015-12-31,3539.18,3570.47,3580.6,3538.35,1.77e+10
2016-01-04,3296.26,3536.59,3538.69,3295.74,1.844e+10
2016-01-05,3287.71,3196.65,3328.14,3189.6,2.669e+10
2016-01-06,3361.84,3291.19,3362.97,3288.93,2.389e+10
2016-01-07,3125,3309.66,3309.66,3115.89,7.06e+09
2016-01-08,3186.41,3194.63,3235.45,3056.88,2.864e+10
2016-01-11,3016.7,3131.85,3166.22,3016.7,2.716e+10
2016-01-12,3022.86,3026.16,3047.66,2978.46,2.077e+10
2016-01-13,2949.6,3041.11,3059.01,2949.29,1.943e+10
2016-01-14,3007.65,2874.05,3012.29,2867.55,2.129e+10
2016-01-15,2900.97,2988.05,3001.71,2883.87,1.987e+10
2016-01-18,2913.84,2847.54,2945.45,2844.7,1.647e+10
2016-01-19,3007.74,2914.41,3012.07,2906.4,2.053e+10
2016-01-20,2976.69,2993.01,3016.28,2951.92,2.165e+10
2016-01-21,2880.48,2934.39,2998.79,2880.08,1.917e+10
2016-01-22,2916.56,2911.11,2931.36,2851.73,1.598e+10
2016-01-25,2938.51,2934.08,2955.78,2911.83,1.53e+10
2016-01-26,2749.79,2907.72,2911.99,2743.84,2.108e+10
2016-01-27,2735.56,2756.08,2768.77,2638.3,2.157e+10
2016-01-28,2655.66,2711.16,2740.54,2647.49,1.711e+10
2016-01-29,2737.6,2652.85,2755.37,2649.79,1.867e+10
2016-02-01,2688.85,2730.98,2735.26,2655.62,1.564e+10
2016-02-02,2749.57,2687.98,2755.16,2687.98,1.581e+10
2016-02-03,2739.25,2719.57,2746.07,2696.88,1.484e+10
2016-02-04,2781.02,2751.43,2793.3,2751.31,1.704e+10
2016-02-05,2763.49,2783.08,2790.06,2762.16,1.412e+10
2016-02-15,2746.2,2684.96,2760.36,2682.09,1.293e+10
2016-02-16,2836.57,2758.58,2840.62,2758.58,1.96e+10
2016-02-17,2867.34,2829.76,2868.7,2824.36,2.169e+10
2016-02-18,2862.89,2881.78,2893.21,2857.7,2.192e+10
2016-02-19,2860.02,2854.9,2872.72,2840.49,1.634e+10
2016-02-22,2927.18,2888.6,2933.96,2880.35,2.322e+10
2016-02-23,2903.33,2925.71,2928.05,2872.28,1.997e+10
2016-02-24,2928.9,2889.88,2929.87,2872.27,2.134e+10
2016-02-25,2741.25,2922.24,2922.24,2729.85,2.703e+10
2016-02-26,2767.21,2760.06,2784.75,2715.87,1.911e+10
2016-02-29,2687.98,2754.81,2755.89,2638.96,2.074e+10
2016-03-01,2733.17,2688.38,2747.56,2668.76,1.872e+10
2016-03-02,2849.68,2733.77,2852.7,2732.54,2.71e+10
2016-03-03,2859.76,2847.33,2878.45,2840.87,2.875e+10
2016-03-04,2874.15,2848.54,2880.37,2808.85,3.125e+10
2016-03-07,2897.34,2886.64,2911.84,2871.35,2.175e+10
2016-03-08,2901.39,2895.67,2902.62,2802.56,2.335e+10
2016-03-09,2862.56,2839.41,2863.01,2811.72,1.834e+10
2016-03-10,2804.73,2847.57,2863.18,2803.48,1.39e+10
2016-03-11,2810.31,2781.6,2815.61,2772.55,1.272e+10
2016-03-14,2859.5,2830.08,2889.82,2823.03,1.948e+10
2016-03-15,2864.37,2853.98,2865.79,2819.79,1.634e+10
2016-03-16,2870.43,2858.71,2881.53,2854.19,1.865e+10
2016-03-17,2904.83,2875.41,2921,2857.19,2.003e+10
2016-03-18,2955.15,2915.52,2971.55,2908.74,3.133e+10
2016-03-21,3018.8,2978.46,3028.32,2973.76,3.524e+10
2016-03-22,2999.36,3001.63,3019.1,2988.43,2.704e+10
2016-03-23,3009.96,2991.17,3012.56,2980.86,2.17e+10
2016-03-24,2960.97,2986.8,2998.15,2960.54,2.37e+10
2016-03-25,2979.43,2956.2,2981.41,2952.11,1.751e+10
2016-03-28,2957.82,2988.01,3008.17,2948.53,2.02e+10
2016-03-29,2919.83,2956.71,2962.2,2905.25,1.83e+10
2016-03-30,3000.64,2941.22,3001.11,2941.22,2.104e+10
2016-03-31,3003.92,3009.37,3023.41,2992.92,2.204e+10
2016-04-01,3009.53,2997.09,3009.67,2956.25,2.065e+10
2016-04-05,3053.07,3000.94,3057.33,2993.15,2.567e+10
2016-04-06,3050.59,3039.74,3059.79,3029,2.323e+10
2016-04-07,3008.42,3058.34,3062.36,3007.06,2.209e+10
2016-04-08,2984.96,2988.2,2996.17,2960.46,1.879e+10
2016-04-11,3033.96,3006.91,3048.98,3006.91,2.2e+10
2016-04-12,3023.65,3031.3,3036.82,3001.32,1.827e+10
2016-04-13,3066.64,3041.36,3097.16,3041.36,3.1e+10
2016-04-14,3082.36,3080.09,3086.7,3056.99,2.082e+10
2016-04-15,3078.12,3085.03,3089.95,3066.87,1.896e+10
2016-04-18,3033.66,3058.46,3058.46,3022.97,1.833e+10
2016-04-19,3042.82,3047.13,3054.5,3024.9,1.565e+10
2016-04-20,2972.58,3050.38,3055.69,2905.05,2.831e+10
2016-04-21,2952.89,2954.37,2990.67,2943.46,1.894e+10
2016-04-22,2959.24,2933.03,2960.21,2926.78,1.372e+10
2016-04-25,2946.67,2949.97,2954.09,2917.02,1.259e+10
2016-04-26,2964.7,2944.72,2965.43,2933.97,1.177e+10
2016-04-27,2953.67,2967.19,2976.02,2949.43,1.309e+10
